4 qid:1 1:9.169009 2:22.169247 3:1
3 qid:1 1:6.9903145 2:20.8937 3:1
3 qid:1 1:4.972313 2:19.01041 3:1
3 qid:1 1:0.0 2:14.370026 3:0
0 qid:1 1:0.0 2:0.0 3:0
0 qid:1 1:0.0 2:0.0 3:0
0 qid:1 1:0.0 2:0.0 3:0
0 qid:1 1:0.0 2:0.0 3:0
0 qid:1 1:0.0 2:0.0 3:0
0 qid:1 1:0.0 2:0.0 3:0
4 qid:1 1:8.136918 2:18.368336 3:0
3 qid:1 1:6.203464 2:17.696943 3:0
3 qid:1 1:0.0 2:0.0 3:1
3 qid:1 1:6.203464 2:14.961248 3:0
3 qid:1 1:6.203464 2:16.599255 3:0
3 qid:1 1:6.203464 2:17.696943 3:0
0 qid:1 1:0.0 2:0.0 3:1
0 qid:1 1:0.0 2:0.0 3:0
0 qid:1 1:4.4126143 2:8.031729 3:0
4 qid:1 1:0.0 2:0.0 3:1
0 qid:1 1:0.0 2:0.0 3:0
0 qid:1 1:0.0 2:0.0 3:0
0 qid:1 1:0.0 2:0.0 3:0
0 qid:1 1:0.0 2:0.0 3:0
0 qid:1 1:0.0 2:0.0 3:0
